Case 1
0.00 0.00 3.00
0.00 7.60 0.00
0.00 7.60 3.00
0.00 15.20 0.00
0.00 15.20 3.00
10.80 0.00 0.00
10.80 0.00 3.00
10.80 7.60 0.00
10.80 7.60 3.00
10.80 15.20 0.00
10.80 15.20 3.00
21.60 0.00 0.00
21.60 0.00 3.00
21.60 7.60 0.00
21.60 7.60 3.00
21.60 15.20 0.00
21.60 15.20 3.00
32.40 0.00 0.00
32.40 0.00 3.00
32.40 7.60 0.00
32.40 7.60 3.00
32.40 15.20 0.00
32.40 15.20 3.00
43.20 0.00 0.00
43.20 0.00 3.00
43.20 7.60 0.00
43.20 7.60 3.00
43.20 15.20 0.00
43.20 15.20 3.00
0.00 0.00 6.00
0.00 4.30 6.00
0.00 8.60 6.00
0.00 12.90 6.00
0.00 17.20 6.00
11.00 0.00 6.00
11.00 4.30 6.00
11.00 8.60 6.00
11.00 12.90 6.00
11.00 17.20 6.00
22.00 0.00 6.00
22.00 4.30 6.00
22.00 8.60 6.00
22.00 12.90 6.00
22.00 17.20 6.00
33.00 0.00 6.00
33.00 4.30 6.00
33.00 8.60 6.00
33.00 12.90 6.00
33.00 17.20 6.00
44.00 0.00 6.00
44.00 0.00 11.50
44.00 8.10 6.00
44.00 8.10 11.50
0.00 0.00 8.50
0.00 7.60 8.50
10.80 0.00 8.50
10.80 7.60 8.50
21.60 0.00 8.50
21.60 7.60 8.50
32.40 0.00 8.50
32.40 7.60 8.50
0.00 15.20 8.50
0.00 15.20 11.00
0.00 15.20 13.50
11.00 15.20 8.50
11.00 15.20 11.00
11.00 15.20 13.50
22.00 15.20 8.50
22.00 15.20 11.00
22.00 15.20 13.50
33.00 15.20 8.50
33.00 15.20 11.00
33.00 15.20 13.50
0.00 0.00 11.50
9.20 0.00 11.50
18.40 0.00 11.50
27.60 0.00 11.50
0.00 8.10 11.50
0.00 0.00 17.00
10.80 0.00 17.00
used ratio:62.26%

Case 3
0.00 0.00 0.00
0.00 0.00 0.30
0.00 0.76 0.00
0.00 0.76 0.30
0.00 1.52 0.00
0.00 1.52 0.30
0.00 2.28 0.00
0.00 2.28 0.30
1.08 0.00 0.00
1.08 0.00 0.30
1.08 0.76 0.00
1.08 0.76 0.30
1.08 1.52 0.00
1.08 1.52 0.30
1.08 2.28 0.00
1.08 2.28 0.30
2.16 0.00 0.00
2.16 0.00 0.30
2.16 0.76 0.00
2.16 0.76 0.30
2.16 1.52 0.00
2.16 1.52 0.30
2.16 2.28 0.00
2.16 2.28 0.30
3.24 0.00 0.00
3.24 0.00 0.30
3.24 0.76 0.00
3.24 0.76 0.30
3.24 1.52 0.00
3.24 1.52 0.30
3.24 2.28 0.00
3.24 2.28 0.30
4.32 0.00 0.00
4.32 0.00 0.30
4.32 0.76 0.00
4.32 0.76 0.30
4.32 1.52 0.00
4.32 1.52 0.30
4.32 2.28 0.00
4.32 2.28 0.30
0.00 0.00 0.60
0.00 0.43 0.60
0.00 0.86 0.60
0.00 1.29 0.60
0.00 1.72 0.60
1.10 0.00 0.60
1.10 0.43 0.60
1.10 0.86 0.60
1.10 1.29 0.60
1.10 1.72 0.60
2.20 0.00 0.60
2.20 0.43 0.60
2.20 0.86 0.60
2.20 1.29 0.60
2.20 1.72 0.60
3.30 0.00 0.60
3.30 0.43 0.60
3.30 0.86 0.60
3.30 1.29 0.60
3.30 1.72 0.60
4.40 0.00 0.60
4.40 0.00 1.15
4.40 0.81 0.60
4.40 0.81 1.15
0.00 0.00 0.85
0.00 0.76 0.85
1.08 0.00 0.85
1.08 0.76 0.85
2.16 0.00 0.85
2.16 0.76 0.85
3.24 0.00 0.85
3.24 0.76 0.85
0.00 1.52 0.85
0.00 1.52 1.10
0.00 1.52 1.35
1.10 1.52 0.85
1.10 1.52 1.10
1.10 1.52 1.35
2.20 1.52 0.85
2.20 1.52 1.10
2.20 1.52 1.35
3.30 1.52 0.85
3.30 1.52 1.10
3.30 1.52 1.35
0.00 0.00 1.15
0.92 0.00 1.15
1.84 0.00 1.15
2.76 0.00 1.15
0.00 0.81 1.15
0.00 0.00 1.70
1.08 0.00 1.70
used ratio:62.26%

Case 4
0.00 0.00 0.00
0.00 77.00 0.00
0.00 154.00 0.00
105.00 0.00 0.00
105.00 77.00 0.00
105.00 154.00 0.00
210.00 0.00 0.00
210.00 77.00 0.00
210.00 154.00 0.00
315.00 0.00 0.00
315.00 77.00 0.00
315.00 154.00 0.00
420.00 0.00 0.00
420.00 77.00 0.00
420.00 154.00 0.00
0.00 0.00 72.00
0.00 54.00 72.00
0.00 108.00 72.00
0.00 162.00 72.00
91.00 0.00 72.00
91.00 54.00 72.00
91.00 108.00 72.00
91.00 162.00 72.00
182.00 0.00 72.00
182.00 54.00 72.00
182.00 108.00 72.00
182.00 162.00 72.00
273.00 0.00 72.00
273.00 54.00 72.00
273.00 108.00 72.00
273.00 162.00 72.00
364.00 0.00 72.00
364.00 54.00 72.00
364.00 108.00 72.00
364.00 162.00 72.00
0.00 0.00 117.00
0.00 77.00 117.00
105.00 0.00 117.00
105.00 77.00 117.00
210.00 0.00 117.00
210.00 77.00 117.00
315.00 0.00 117.00
315.00 77.00 117.00
0.00 154.00 117.00
0.00 154.00 162.00
91.00 154.00 117.00
91.00 154.00 162.00
182.00 154.00 117.00
182.00 154.00 162.00
273.00 154.00 117.00
273.00 154.00 162.00
364.00 154.00 117.00
364.00 154.00 162.00
used ratio:70.722%

Case 5
0.00 0.00 0.00
0.00 77.00 0.00
0.00 154.00 0.00
105.00 0.00 0.00
105.00 77.00 0.00
105.00 154.00 0.00
210.00 0.00 0.00
210.00 77.00 0.00
210.00 154.00 0.00
315.00 0.00 0.00
315.00 77.00 0.00
315.00 154.00 0.00
420.00 0.00 0.00
420.00 77.00 0.00
420.00 154.00 0.00
0.00 0.00 72.00
0.00 54.00 72.00
0.00 108.00 72.00
0.00 162.00 72.00
91.00 0.00 72.00
91.00 54.00 72.00
91.00 108.00 72.00
91.00 162.00 72.00
182.00 0.00 72.00
182.00 54.00 72.00
182.00 108.00 72.00
182.00 162.00 72.00
273.00 0.00 72.00
273.00 54.00 72.00
273.00 108.00 72.00
273.00 162.00 72.00
364.00 0.00 72.00
364.00 54.00 72.00
364.00 108.00 72.00
364.00 162.00 72.00
0.00 0.00 117.00
0.00 77.00 117.00
105.00 0.00 117.00
105.00 77.00 117.00
210.00 0.00 117.00
210.00 77.00 117.00
315.00 0.00 117.00
315.00 77.00 117.00
0.00 154.00 117.00
0.00 154.00 162.00
91.00 154.00 117.00
91.00 154.00 162.00
182.00 154.00 117.00
182.00 154.00 162.00
273.00 154.00 117.00
273.00 154.00 162.00
364.00 154.00 117.00
364.00 154.00 162.00
used ratio:70.722%

Case 6
0.00 0.00 0.00
0.00 0.00 55.00
0.00 75.00 0.00
0.00 75.00 55.00
0.00 150.00 0.00
0.00 150.00 55.00
98.00 0.00 0.00
98.00 0.00 55.00
98.00 75.00 0.00
98.00 75.00 55.00
98.00 150.00 0.00
98.00 150.00 55.00
196.00 0.00 0.00
196.00 0.00 55.00
196.00 75.00 0.00
196.00 75.00 55.00
196.00 150.00 0.00
196.00 150.00 55.00
294.00 0.00 0.00
294.00 0.00 55.00
294.00 75.00 0.00
294.00 75.00 55.00
294.00 150.00 0.00
294.00 150.00 55.00
392.00 0.00 0.00
392.00 0.00 55.00
392.00 75.00 0.00
392.00 75.00 55.00
392.00 150.00 0.00
392.00 150.00 55.00
490.00 0.00 0.00
490.00 0.00 32.00
490.00 0.00 64.00
490.00 0.00 96.00
490.00 0.00 128.00
490.00 0.00 160.00
490.00 40.00 0.00
490.00 40.00 32.00
490.00 40.00 64.00
490.00 40.00 96.00
490.00 40.00 128.00
490.00 40.00 160.00
490.00 80.00 0.00
490.00 80.00 32.00
490.00 80.00 64.00
490.00 80.00 96.00
490.00 80.00 128.00
490.00 80.00 160.00
490.00 120.00 0.00
490.00 120.00 32.00
490.00 120.00 64.00
490.00 120.00 96.00
490.00 120.00 128.00
490.00 120.00 160.00
490.00 160.00 0.00
490.00 160.00 32.00
490.00 160.00 64.00
490.00 160.00 96.00
490.00 160.00 128.00
490.00 160.00 160.00
0.00 0.00 110.00
0.00 0.00 149.00
0.00 59.00 110.00
0.00 59.00 149.00
0.00 118.00 110.00
0.00 118.00 149.00
60.00 0.00 110.00
60.00 0.00 149.00
60.00 59.00 110.00
60.00 59.00 149.00
60.00 118.00 110.00
60.00 118.00 149.00
120.00 0.00 110.00
120.00 0.00 149.00
120.00 59.00 110.00
120.00 59.00 149.00
120.00 118.00 110.00
120.00 118.00 149.00
180.00 0.00 110.00
180.00 0.00 149.00
180.00 59.00 110.00
180.00 59.00 149.00
180.00 118.00 110.00
180.00 118.00 149.00
240.00 0.00 110.00
240.00 0.00 149.00
240.00 59.00 110.00
240.00 59.00 149.00
240.00 118.00 110.00
240.00 118.00 149.00
300.00 0.00 110.00
300.00 0.00 149.00
300.00 59.00 110.00
300.00 59.00 149.00
300.00 118.00 110.00
300.00 118.00 149.00
360.00 0.00 110.00
360.00 0.00 149.00
360.00 59.00 110.00
360.00 59.00 149.00
360.00 118.00 110.00
360.00 118.00 149.00
420.00 0.00 110.00
420.00 0.00 149.00
420.00 59.00 110.00
420.00 59.00 149.00
420.00 118.00 110.00
420.00 118.00 149.00
0.00 177.00 110.00
0.00 177.00 142.00
0.00 177.00 174.00
60.00 177.00 110.00
60.00 177.00 142.00
60.00 177.00 174.00
120.00 177.00 110.00
120.00 177.00 142.00
120.00 177.00 174.00
180.00 177.00 110.00
180.00 177.00 142.00
180.00 177.00 174.00
240.00 177.00 110.00
240.00 177.00 142.00
240.00 177.00 174.00
300.00 177.00 110.00
300.00 177.00 142.00
300.00 177.00 174.00
360.00 177.00 110.00
360.00 177.00 142.00
360.00 177.00 174.00
420.00 177.00 110.00
420.00 177.00 142.00
420.00 177.00 174.00
0.00 0.00 188.00
0.00 40.00 188.00
60.00 0.00 188.00
60.00 40.00 188.00
120.00 0.00 188.00
120.00 40.00 188.00
180.00 0.00 188.00
180.00 40.00 188.00
240.00 0.00 188.00
240.00 40.00 188.00
used ratio:78.664%

Case 7
0.00 0.00 0.00
0.00 37.00 0.00
0.00 74.00 0.00
0.00 111.00 0.00
0.00 148.00 0.00
0.00 185.00 0.00
78.00 0.00 0.00
78.00 37.00 0.00
78.00 74.00 0.00
78.00 111.00 0.00
78.00 148.00 0.00
78.00 185.00 0.00
156.00 0.00 0.00
156.00 37.00 0.00
156.00 74.00 0.00
156.00 111.00 0.00
156.00 148.00 0.00
156.00 185.00 0.00
234.00 0.00 0.00
234.00 37.00 0.00
234.00 74.00 0.00
234.00 111.00 0.00
234.00 148.00 0.00
234.00 185.00 0.00
312.00 0.00 0.00
312.00 37.00 0.00
312.00 74.00 0.00
312.00 111.00 0.00
312.00 148.00 0.00
312.00 185.00 0.00
390.00 0.00 0.00
390.00 37.00 0.00
390.00 74.00 0.00
390.00 111.00 0.00
390.00 148.00 0.00
390.00 185.00 0.00
468.00 0.00 0.00
468.00 37.00 0.00
468.00 74.00 0.00
468.00 111.00 0.00
468.00 148.00 0.00
468.00 185.00 0.00
0.00 0.00 27.00
0.00 0.00 52.00
0.00 70.00 27.00
0.00 70.00 52.00
0.00 140.00 27.00
0.00 140.00 52.00
89.00 0.00 27.00
89.00 0.00 52.00
89.00 70.00 27.00
89.00 70.00 52.00
89.00 140.00 27.00
89.00 140.00 52.00
178.00 0.00 27.00
178.00 0.00 52.00
178.00 70.00 27.00
178.00 70.00 52.00
178.00 140.00 27.00
178.00 140.00 52.00
267.00 0.00 27.00
267.00 0.00 52.00
267.00 70.00 27.00
267.00 70.00 52.00
267.00 140.00 27.00
267.00 140.00 52.00
356.00 0.00 27.00
356.00 0.00 52.00
356.00 70.00 27.00
356.00 70.00 52.00
356.00 140.00 27.00
356.00 140.00 52.00
445.00 0.00 27.00
445.00 0.00 52.00
445.00 70.00 27.00
445.00 70.00 52.00
445.00 140.00 27.00
445.00 140.00 52.00
0.00 0.00 77.00
0.00 70.00 77.00
0.00 140.00 77.00
89.00 0.00 77.00
89.00 70.00 77.00
89.00 140.00 77.00
178.00 0.00 77.00
178.00 70.00 77.00
178.00 140.00 77.00
267.00 0.00 77.00
267.00 70.00 77.00
267.00 140.00 77.00
356.00 0.00 77.00
356.00 70.00 77.00
356.00 140.00 77.00
445.00 0.00 77.00
445.00 0.00 104.00
445.00 0.00 131.00
445.00 0.00 158.00
445.00 37.00 77.00
445.00 37.00 104.00
445.00 37.00 131.00
445.00 37.00 158.00
445.00 74.00 77.00
445.00 74.00 104.00
445.00 74.00 131.00
445.00 74.00 158.00
445.00 111.00 77.00
445.00 111.00 104.00
445.00 111.00 131.00
445.00 111.00 158.00
445.00 148.00 77.00
445.00 148.00 104.00
445.00 148.00 131.00
445.00 148.00 158.00
0.00 0.00 102.00
0.00 0.00 143.00
0.00 84.00 102.00
0.00 84.00 143.00
90.00 0.00 102.00
90.00 0.00 143.00
90.00 84.00 102.00
90.00 84.00 143.00
180.00 0.00 102.00
180.00 0.00 143.00
180.00 84.00 102.00
180.00 84.00 143.00
270.00 0.00 102.00
270.00 0.00 143.00
270.00 84.00 102.00
270.00 84.00 143.00
360.00 0.00 102.00
0.00 0.00 184.00
used ratio:62.856%

Case 8
0.00 0.00 0.00
0.00 76.00 0.00
0.00 152.00 0.00
108.00 0.00 0.00
108.00 76.00 0.00
108.00 152.00 0.00
216.00 0.00 0.00
216.00 76.00 0.00
216.00 152.00 0.00
324.00 0.00 0.00
324.00 76.00 0.00
324.00 152.00 0.00
432.00 0.00 0.00
432.00 76.00 0.00
432.00 152.00 0.00
0.00 0.00 30.00
0.00 99.00 30.00
120.00 0.00 30.00
120.00 99.00 30.00
240.00 0.00 30.00
240.00 99.00 30.00
360.00 0.00 30.00
360.00 99.00 30.00
0.00 0.00 103.00
0.00 0.00 158.00
0.00 81.00 103.00
0.00 81.00 158.00
92.00 0.00 103.00
92.00 0.00 158.00
92.00 81.00 103.00
92.00 81.00 158.00
184.00 0.00 103.00
184.00 0.00 158.00
184.00 81.00 103.00
184.00 81.00 158.00
276.00 0.00 103.00
276.00 0.00 158.00
276.00 81.00 103.00
276.00 81.00 158.00
368.00 0.00 103.00
368.00 0.00 158.00
368.00 81.00 103.00
368.00 81.00 158.00
0.00 162.00 103.00
0.00 162.00 131.00
81.00 162.00 103.00
81.00 162.00 131.00
162.00 162.00 103.00
162.00 162.00 131.00
243.00 162.00 103.00
243.00 162.00 131.00
324.00 162.00 103.00
324.00 162.00 131.00
0.00 162.00 159.00
81.00 162.00 159.00
162.00 162.00 159.00
used ratio:67.972%

Case 9
0.00 0.00 0.00
0.00 70.00 0.00
0.00 140.00 0.00
95.00 0.00 0.00
95.00 70.00 0.00
95.00 140.00 0.00
190.00 0.00 0.00
190.00 70.00 0.00
190.00 140.00 0.00
285.00 0.00 0.00
285.00 70.00 0.00
285.00 140.00 0.00
380.00 0.00 0.00
380.00 70.00 0.00
380.00 140.00 0.00
475.00 0.00 0.00
475.00 70.00 0.00
475.00 140.00 0.00
0.00 0.00 62.00
0.00 49.00 62.00
0.00 98.00 62.00
0.00 147.00 62.00
111.00 0.00 62.00
111.00 49.00 62.00
111.00 98.00 62.00
111.00 147.00 62.00
222.00 0.00 62.00
222.00 49.00 62.00
222.00 98.00 62.00
222.00 147.00 62.00
333.00 0.00 62.00
333.00 49.00 62.00
333.00 98.00 62.00
333.00 147.00 62.00
444.00 0.00 62.00
444.00 0.00 103.00
444.00 51.00 62.00
444.00 51.00 103.00
444.00 102.00 62.00
444.00 102.00 103.00
444.00 153.00 62.00
444.00 153.00 103.00
504.00 0.00 62.00
504.00 0.00 103.00
504.00 51.00 62.00
504.00 51.00 103.00
504.00 102.00 62.00
504.00 102.00 103.00
504.00 153.00 62.00
504.00 153.00 103.00
0.00 0.00 88.00
0.00 0.00 152.00
0.00 76.00 88.00
0.00 76.00 152.00
103.00 0.00 88.00
103.00 0.00 152.00
103.00 76.00 88.00
103.00 76.00 152.00
206.00 0.00 88.00
206.00 0.00 152.00
206.00 76.00 88.00
206.00 76.00 152.00
309.00 0.00 88.00
309.00 0.00 152.00
309.00 76.00 88.00
309.00 76.00 152.00
0.00 152.00 88.00
0.00 152.00 109.00
49.00 152.00 88.00
49.00 152.00 109.00
98.00 152.00 88.00
98.00 152.00 109.00
147.00 152.00 88.00
147.00 152.00 109.00
196.00 152.00 88.00
196.00 152.00 109.00
245.00 152.00 88.00
245.00 152.00 109.00
294.00 152.00 88.00
294.00 152.00 109.00
343.00 152.00 88.00
343.00 152.00 109.00
392.00 152.00 88.00
392.00 152.00 109.00
0.00 152.00 130.00
49.00 152.00 130.00
98.00 152.00 130.00
147.00 152.00 130.00
444.00 0.00 144.00
444.00 51.00 144.00
444.00 102.00 144.00
504.00 0.00 144.00
504.00 51.00 144.00
504.00 102.00 144.00
444.00 153.00 144.00
used ratio:71.651%

Case 10
0.00 0.00 0.00
0.00 54.00 0.00
0.00 108.00 0.00
0.00 162.00 0.00
94.00 0.00 0.00
94.00 54.00 0.00
94.00 108.00 0.00
94.00 162.00 0.00
188.00 0.00 0.00
188.00 54.00 0.00
188.00 108.00 0.00
188.00 162.00 0.00
282.00 0.00 0.00
282.00 54.00 0.00
282.00 108.00 0.00
282.00 162.00 0.00
376.00 0.00 0.00
376.00 54.00 0.00
376.00 108.00 0.00
376.00 162.00 0.00
470.00 0.00 0.00
470.00 54.00 0.00
470.00 108.00 0.00
470.00 162.00 0.00
0.00 0.00 36.00
0.00 54.00 36.00
0.00 108.00 36.00
0.00 162.00 36.00
88.00 0.00 36.00
88.00 54.00 36.00
88.00 108.00 36.00
88.00 162.00 36.00
176.00 0.00 36.00
176.00 54.00 36.00
176.00 108.00 36.00
176.00 162.00 36.00
264.00 0.00 36.00
264.00 54.00 36.00
264.00 108.00 36.00
264.00 162.00 36.00
352.00 0.00 36.00
352.00 54.00 36.00
352.00 108.00 36.00
352.00 162.00 36.00
440.00 0.00 36.00
440.00 54.00 36.00
440.00 108.00 36.00
440.00 162.00 36.00
0.00 0.00 75.00
0.00 77.00 75.00
87.00 0.00 75.00
87.00 77.00 75.00
174.00 0.00 75.00
174.00 77.00 75.00
261.00 0.00 75.00
261.00 77.00 75.00
348.00 0.00 75.00
348.00 77.00 75.00
435.00 0.00 75.00
435.00 77.00 75.00
0.00 154.00 75.00
0.00 154.00 111.00
0.00 154.00 147.00
0.00 154.00 183.00
83.00 154.00 75.00
83.00 154.00 111.00
83.00 154.00 147.00
83.00 154.00 183.00
166.00 154.00 75.00
166.00 154.00 111.00
166.00 154.00 147.00
166.00 154.00 183.00
249.00 154.00 75.00
249.00 154.00 111.00
249.00 154.00 147.00
249.00 154.00 183.00
332.00 154.00 75.00
332.00 154.00 111.00
332.00 154.00 147.00
332.00 154.00 183.00
415.00 154.00 75.00
415.00 154.00 111.00
415.00 154.00 147.00
415.00 154.00 183.00
0.00 0.00 118.00
0.00 77.00 118.00
87.00 0.00 118.00
87.00 77.00 118.00
174.00 0.00 118.00
174.00 77.00 118.00
261.00 0.00 118.00
261.00 77.00 118.00
348.00 0.00 118.00
348.00 54.00 118.00
348.00 0.00 154.00
0.00 0.00 161.00
0.00 54.00 161.00
used ratio:61.713%

Case 11
0.00 0.00 0.00
0.00 76.00 0.00
0.00 152.00 0.00
80.00 0.00 0.00
80.00 76.00 0.00
80.00 152.00 0.00
160.00 0.00 0.00
160.00 76.00 0.00
160.00 152.00 0.00
240.00 0.00 0.00
240.00 76.00 0.00
240.00 152.00 0.00
320.00 0.00 0.00
320.00 76.00 0.00
320.00 152.00 0.00
400.00 0.00 0.00
400.00 76.00 0.00
400.00 152.00 0.00
480.00 0.00 0.00
480.00 76.00 0.00
480.00 152.00 0.00
0.00 0.00 54.00
0.00 50.00 54.00
0.00 100.00 54.00
0.00 150.00 54.00
69.00 0.00 54.00
69.00 50.00 54.00
69.00 100.00 54.00
69.00 150.00 54.00
138.00 0.00 54.00
138.00 50.00 54.00
138.00 100.00 54.00
138.00 150.00 54.00
207.00 0.00 54.00
207.00 50.00 54.00
207.00 100.00 54.00
207.00 150.00 54.00
276.00 0.00 54.00
276.00 50.00 54.00
276.00 100.00 54.00
276.00 150.00 54.00
345.00 0.00 54.00
345.00 50.00 54.00
345.00 100.00 54.00
345.00 150.00 54.00
414.00 0.00 54.00
414.00 50.00 54.00
414.00 100.00 54.00
414.00 150.00 54.00
483.00 0.00 54.00
483.00 50.00 54.00
483.00 100.00 54.00
0.00 0.00 99.00
0.00 0.00 138.00
0.00 85.00 99.00
0.00 85.00 138.00
94.00 0.00 99.00
94.00 0.00 138.00
94.00 85.00 99.00
94.00 85.00 138.00
188.00 0.00 99.00
188.00 0.00 138.00
188.00 85.00 99.00
188.00 85.00 138.00
282.00 0.00 99.00
282.00 0.00 138.00
282.00 85.00 99.00
282.00 85.00 138.00
376.00 0.00 99.00
376.00 0.00 138.00
376.00 85.00 99.00
376.00 85.00 138.00
470.00 0.00 99.00
470.00 0.00 153.00
0.00 0.00 177.00
0.00 78.00 177.00
84.00 0.00 177.00
84.00 78.00 177.00
168.00 0.00 177.00
168.00 78.00 177.00
252.00 0.00 177.00
252.00 78.00 177.00
336.00 0.00 177.00
336.00 78.00 177.00
used ratio:72.164%

Case 12
0.00 0.00 0.00
0.00 76.00 0.00
0.00 152.00 0.00
109.00 0.00 0.00
109.00 76.00 0.00
109.00 152.00 0.00
218.00 0.00 0.00
218.00 76.00 0.00
218.00 152.00 0.00
327.00 0.00 0.00
327.00 76.00 0.00
327.00 152.00 0.00
436.00 0.00 0.00
436.00 76.00 0.00
436.00 152.00 0.00
0.00 0.00 42.00
0.00 63.00 42.00
0.00 126.00 42.00
74.00 0.00 42.00
74.00 63.00 42.00
74.00 126.00 42.00
148.00 0.00 42.00
148.00 63.00 42.00
148.00 126.00 42.00
222.00 0.00 42.00
222.00 63.00 42.00
222.00 126.00 42.00
296.00 0.00 42.00
296.00 63.00 42.00
296.00 126.00 42.00
370.00 0.00 42.00
370.00 63.00 42.00
370.00 126.00 42.00
444.00 0.00 42.00
444.00 63.00 42.00
444.00 126.00 42.00
0.00 0.00 103.00
0.00 80.00 103.00
106.00 0.00 103.00
106.00 80.00 103.00
212.00 0.00 103.00
212.00 80.00 103.00
318.00 0.00 103.00
318.00 80.00 103.00
424.00 0.00 103.00
424.00 0.00 128.00
424.00 0.00 153.00
424.00 0.00 178.00
424.00 60.00 103.00
424.00 60.00 128.00
424.00 60.00 153.00
424.00 60.00 178.00
424.00 120.00 103.00
424.00 120.00 128.00
424.00 120.00 153.00
424.00 120.00 178.00
0.00 0.00 162.00
0.00 76.00 162.00
109.00 0.00 162.00
109.00 76.00 162.00
218.00 0.00 162.00
218.00 76.00 162.00
used ratio:66.517%

Case 13
0.00 0.00 0.00
0.00 76.00 0.00
0.00 152.00 0.00
108.00 0.00 0.00
108.00 76.00 0.00
108.00 152.00 0.00
216.00 0.00 0.00
216.00 76.00 0.00
216.00 152.00 0.00
324.00 0.00 0.00
324.00 76.00 0.00
324.00 152.00 0.00
432.00 0.00 0.00
432.00 76.00 0.00
432.00 152.00 0.00
0.00 0.00 30.00
0.00 99.00 30.00
120.00 0.00 30.00
120.00 99.00 30.00
240.00 0.00 30.00
240.00 99.00 30.00
360.00 0.00 30.00
360.00 99.00 30.00
0.00 0.00 103.00
0.00 76.00 103.00
108.00 0.00 103.00
108.00 76.00 103.00
216.00 0.00 103.00
216.00 76.00 103.00
324.00 0.00 103.00
324.00 76.00 103.00
0.00 152.00 103.00
0.00 152.00 128.00
110.00 152.00 103.00
110.00 152.00 128.00
220.00 152.00 103.00
220.00 152.00 128.00
330.00 152.00 103.00
330.00 152.00 128.00
0.00 0.00 133.00
0.00 72.00 133.00
98.00 0.00 133.00
98.00 72.00 133.00
196.00 0.00 133.00
196.00 72.00 133.00
294.00 0.00 133.00
294.00 72.00 133.00
0.00 152.00 153.00
0.00 152.00 181.00
81.00 152.00 153.00
81.00 152.00 181.00
162.00 152.00 153.00
162.00 152.00 181.00
243.00 152.00 153.00
243.00 152.00 181.00
324.00 152.00 153.00
324.00 152.00 181.00
0.00 0.00 179.00
0.00 66.00 179.00
95.00 0.00 179.00
95.00 66.00 179.00
190.00 0.00 179.00
190.00 66.00 179.00
285.00 0.00 179.00
285.00 66.00 179.00
used ratio:64.228%

Case 14
0.00 0.00 0.00
0.00 61.00 0.00
0.00 122.00 0.00
106.00 0.00 0.00
106.00 61.00 0.00
106.00 122.00 0.00
212.00 0.00 0.00
212.00 61.00 0.00
212.00 122.00 0.00
318.00 0.00 0.00
318.00 61.00 0.00
318.00 122.00 0.00
424.00 0.00 0.00
424.00 61.00 0.00
424.00 122.00 0.00
0.00 183.00 0.00
0.00 183.00 40.00
0.00 183.00 80.00
91.00 183.00 0.00
91.00 183.00 40.00
91.00 183.00 80.00
182.00 183.00 0.00
182.00 183.00 40.00
182.00 183.00 80.00
273.00 183.00 0.00
273.00 183.00 40.00
273.00 183.00 80.00
364.00 183.00 0.00
364.00 183.00 40.00
364.00 183.00 80.00
455.00 183.00 0.00
455.00 183.00 40.00
455.00 183.00 80.00
0.00 0.00 56.00
0.00 56.00 56.00
0.00 112.00 56.00
100.00 0.00 56.00
100.00 56.00 56.00
100.00 112.00 56.00
200.00 0.00 56.00
200.00 56.00 56.00
200.00 112.00 56.00
300.00 0.00 56.00
300.00 56.00 56.00
300.00 112.00 56.00
400.00 0.00 56.00
400.00 56.00 56.00
400.00 112.00 56.00
0.00 0.00 91.00
0.00 81.00 91.00
97.00 0.00 91.00
97.00 81.00 91.00
194.00 0.00 91.00
194.00 81.00 91.00
291.00 0.00 91.00
291.00 81.00 91.00
388.00 0.00 91.00
