Case 1
220.00 184.00 85.00
330.00 184.00 60.00
330.00 184.00 85.00
0.00 184.00 110.00
0.00 0.00 170.00
0.00 76.00 170.00
108.00 0.00 170.00
108.00 76.00 170.00
216.00 0.00 170.00
216.00 76.00 170.00
324.00 0.00 170.00
324.00 76.00 170.00
432.00 0.00 170.00
used ratio:85.333%

Case 2
0.00 0.00 0.00
0.00 0.00 3.00
0.00 7.60 0.00
0.00 7.60 3.00
0.00 15.20 0.00
0.00 15.20 3.00
10.80 0.00 0.00
10.80 0.00 3.00
10.80 7.60 0.00
10.80 7.60 3.00
10.80 15.20 0.00
10.80 15.20 3.00
21.60 0.00 0.00
21.60 0.00 3.00
21.60 7.60 0.00
21.60 7.60 3.00
21.60 15.20 0.00
21.60 15.20 3.00
32.40 0.00 0.00
32.40 0.00 3.00
32.40 7.60 0.00
32.40 7.60 3.00
32.40 15.20 0.00
32.40 15.20 3.00
43.20 0.00 0.00
43.20 0.00 3.00
43.20 7.60 0.00
43.20 7.60 3.00
43.20 15.20 0.00
43.20 15.20 3.00
54.00 0.00 0.00
54.00 0.00 2.50
54.00 0.00 5.00
54.00 0.00 7.50
54.00 0.00 10.00
54.00 0.00 12.50
54.00 0.00 15.00
54.00 0.00 17.50
54.00 11.00 0.00
54.00 11.00 2.50
54.00 11.00 5.00
54.00 11.00 7.50
54.00 11.00 10.00
54.00 11.00 12.50
54.00 11.00 15.00
54.00 11.00 17.50
0.00 0.00 6.00
0.00 0.00 11.50
0.00 9.20 6.00
0.00 9.20 11.50
8.10 0.00 6.00
8.10 0.00 11.50
8.10 9.20 6.00
8.10 9.20 11.50
16.20 0.00 6.00
16.20 0.00 11.50
16.20 9.20 6.00
16.20 9.20 11.50
24.30 0.00 6.00
24.30 0.00 11.50
24.30 9.20 6.00
24.30 9.20 11.50
32.40 0.00 6.00
32.40 0.00 11.50
32.40 9.20 6.00
32.40 9.20 11.50
40.50 0.00 6.00
40.50 0.00 11.50
40.50 9.20 6.00
40.50 9.20 11.50
48.60 0.00 6.00
48.60 4.30 6.00
48.60 8.60 6.00
48.60 12.90 6.00
51.10 0.00 6.00
51.10 4.30 6.00
51.10 8.60 6.00
51.10 12.90 6.00
0.00 18.40 6.00
0.00 18.40 8.50
11.00 18.40 6.00
11.00 18.40 8.50
22.00 18.40 6.00
22.00 18.40 8.50
33.00 18.40 6.00
33.00 18.40 8.50
0.00 18.40 11.00
0.00 0.00 17.00
0.00 7.60 17.00
10.80 0.00 17.00
10.80 7.60 17.00
21.60 0.00 17.00
21.60 7.60 17.00
32.40 0.00 17.00
32.40 7.60 17.00
43.20 0.00 17.00
used ratio:85.333%

Case 3
0.00 0.00 0.00
0.00 0.00 0.30
0.00 0.76 0.00
0.00 0.76 0.30
0.00 1.52 0.00
0.00 1.52 0.30
0.00 2.28 0.00
0.00 2.28 0.30
1.08 0.00 0.00
1.08 0.00 0.30
1.08 0.76 0.00
1.08 0.76 0.30
1.08 1.52 0.00
1.08 1.52 0.30
1.08 2.28 0.00
1.08 2.28 0.30
2.16 0.00 0.00
2.16 0.00 0.30
2.16 0.76 0.00
2.16 0.76 0.30
2.16 1.52 0.00
2.16 1.52 0.30
2.16 2.28 0.00
2.16 2.28 0.30
3.24 0.00 0.00
3.24 0.00 0.30
3.24 0.76 0.00
3.24 0.76 0.30
3.24 1.52 0.00
3.24 1.52 0.30
3.24 2.28 0.00
3.24 2.28 0.30
4.32 0.00 0.00
4.32 0.00 0.30
4.32 0.76 0.00
4.32 0.76 0.30
4.32 1.52 0.00
4.32 1.52 0.30
4.32 2.28 0.00
4.32 2.28 0.30
5.40 0.00 0.00
5.40 0.00 0.25
5.40 0.00 0.50
5.40 0.00 0.75
5.40 0.00 1.00
5.40 0.00 1.25
5.40 0.00 1.50
5.40 0.00 1.75
5.40 1.10 0.00
5.40 1.10 0.25
5.40 1.10 0.50
5.40 1.10 0.75
5.40 1.10 1.00
5.40 1.10 1.25
5.40 1.10 1.50
5.40 1.10 1.75
0.00 0.00 0.60
0.00 0.00 1.15
0.00 0.92 0.60
0.00 0.92 1.15
0.81 0.00 0.60
0.81 0.00 1.15
0.81 0.92 0.60
0.81 0.92 1.15
1.62 0.00 0.60
1.62 0.00 1.15
1.62 0.92 0.60
1.62 0.92 1.15
2.43 0.00 0.60
2.43 0.00 1.15
2.43 0.92 0.60
2.43 0.92 1.15
3.24 0.00 0.60
3.24 0.00 1.15
3.24 0.92 0.60
3.24 0.92 1.15
4.05 0.00 0.60
4.05 0.00 1.15
4.05 0.92 0.60
4.05 0.92 1.15
4.86 0.00 0.60
4.86 0.43 0.60
4.86 0.86 0.60
4.86 1.29 0.60
5.11 0.00 0.60
5.11 0.43 0.60
5.11 0.86 0.60
5.11 1.29 0.60
0.00 1.84 0.60
0.00 1.84 0.85
1.10 1.84 0.60
1.10 1.84 0.85
2.20 1.84 0.60
2.20 1.84 0.85
3.30 1.84 0.60
3.30 1.84 0.85
0.00 1.84 1.10
0.00 0.00 1.70
0.00 0.76 1.70
1.08 0.00 1.70
1.08 0.76 1.70
2.16 0.00 1.70
2.16 0.76 1.70
3.24 0.00 1.70
3.24 0.76 1.70
used ratio:84.433%

Case 4
0.00 0.00 0.00
0.00 77.00 0.00
0.00 154.00 0.00
72.00 0.00 0.00
72.00 77.00 0.00
72.00 154.00 0.00
144.00 0.00 0.00
144.00 77.00 0.00
144.00 154.00 0.00
216.00 0.00 0.00
216.00 77.00 0.00
216.00 154.00 0.00
288.00 0.00 0.00
288.00 77.00 0.00
288.00 154.00 0.00
360.00 0.00 0.00
360.00 77.00 0.00
360.00 154.00 0.00
432.00 0.00 0.00
432.00 77.00 0.00
432.00 154.00 0.00
504.00 0.00 0.00
504.00 77.00 0.00
504.00 154.00 0.00
0.00 0.00 105.00
0.00 54.00 105.00
0.00 108.00 105.00
0.00 162.00 105.00
91.00 0.00 105.00
91.00 54.00 105.00
91.00 108.00 105.00
91.00 162.00 105.00
182.00 0.00 105.00
182.00 54.00 105.00
182.00 108.00 105.00
182.00 162.00 105.00
273.00 0.00 105.00
273.00 54.00 105.00
273.00 108.00 105.00
273.00 162.00 105.00
364.00 0.00 105.00
364.00 54.00 105.00
364.00 108.00 105.00
364.00 162.00 105.00
455.00 0.00 105.00
455.00 54.00 105.00
455.00 108.00 105.00
455.00 162.00 105.00
0.00 0.00 150.00
0.00 79.00 150.00
78.00 0.00 150.00
78.00 79.00 150.00
156.00 0.00 150.00
156.00 79.00 150.00
234.00 0.00 150.00
234.00 79.00 150.00
312.00 0.00 150.00
312.00 79.00 150.00
390.00 0.00 150.00
390.00 79.00 150.00
468.00 0.00 150.00
468.00 79.00 150.00
0.00 158.00 150.00
91.00 158.00 150.00
182.00 158.00 150.00
273.00 158.00 150.00
364.00 158.00 150.00
455.00 158.00 150.00
used ratio:91.378%

Case 5
0.00 0.00 0.00
0.00 77.00 0.00
0.00 154.00 0.00
72.00 0.00 0.00
72.00 77.00 0.00
72.00 154.00 0.00
144.00 0.00 0.00
144.00 77.00 0.00
144.00 154.00 0.00
216.00 0.00 0.00
216.00 77.00 0.00
216.00 154.00 0.00
288.00 0.00 0.00
288.00 77.00 0.00
288.00 154.00 0.00
360.00 0.00 0.00
360.00 77.00 0.00
360.00 154.00 0.00
432.00 0.00 0.00
432.00 77.00 0.00
432.00 154.00 0.00
504.00 0.00 0.00
504.00 77.00 0.00
504.00 154.00 0.00
0.00 0.00 105.00
0.00 54.00 105.00
0.00 108.00 105.00
0.00 162.00 105.00
91.00 0.00 105.00
91.00 54.00 105.00
91.00 108.00 105.00
91.00 162.00 105.00
182.00 0.00 105.00
182.00 54.00 105.00
182.00 108.00 105.00
182.00 162.00 105.00
273.00 0.00 105.00
273.00 54.00 105.00
273.00 108.00 105.00
273.00 162.00 105.00
364.00 0.00 105.00
364.00 54.00 105.00
364.00 108.00 105.00
364.00 162.00 105.00
455.00 0.00 105.00
455.00 54.00 105.00
455.00 108.00 105.00
455.00 162.00 105.00
0.00 0.00 150.00
0.00 79.00 150.00
78.00 0.00 150.00
78.00 79.00 150.00
156.00 0.00 150.00
156.00 79.00 150.00
234.00 0.00 150.00
234.00 79.00 150.00
312.00 0.00 150.00
312.00 79.00 150.00
390.00 0.00 150.00
390.00 79.00 150.00
468.00 0.00 150.00
468.00 79.00 150.00
0.00 158.00 150.00
91.00 158.00 150.00
182.00 158.00 150.00
273.00 158.00 150.00
364.00 158.00 150.00
455.00 158.00 150.00
used ratio:91.378%

Case 6
0.00 0.00 0.00
0.00 75.00 0.00
0.00 150.00 0.00
55.00 0.00 0.00
55.00 75.00 0.00
55.00 150.00 0.00
110.00 0.00 0.00
110.00 75.00 0.00
110.00 150.00 0.00
165.00 0.00 0.00
165.00 75.00 0.00
165.00 150.00 0.00
220.00 0.00 0.00
220.00 75.00 0.00
220.00 150.00 0.00
275.00 0.00 0.00
275.00 75.00 0.00
275.00 150.00 0.00
330.00 0.00 0.00
330.00 75.00 0.00
330.00 150.00 0.00
385.00 0.00 0.00
385.00 75.00 0.00
385.00 150.00 0.00
440.00 0.00 0.00
440.00 75.00 0.00
440.00 150.00 0.00
495.00 0.00 0.00
495.00 75.00 0.00
495.00 150.00 0.00
550.00 0.00 0.00
550.00 0.00 60.00
550.00 0.00 120.00
550.00 40.00 0.00
550.00 40.00 60.00
550.00 40.00 120.00
550.00 80.00 0.00
550.00 80.00 60.00
550.00 80.00 120.00
550.00 120.00 0.00
550.00 120.00 60.00
550.00 120.00 120.00
550.00 160.00 0.00
550.00 160.00 60.00
550.00 160.00 120.00
0.00 0.00 98.00
0.00 40.00 98.00
0.00 80.00 98.00
0.00 120.00 98.00
0.00 160.00 98.00
60.00 0.00 98.00
60.00 40.00 98.00
60.00 80.00 98.00
60.00 120.00 98.00
60.00 160.00 98.00
120.00 0.00 98.00
120.00 40.00 98.00
120.00 80.00 98.00
120.00 120.00 98.00
120.00 160.00 98.00
180.00 0.00 98.00
180.00 40.00 98.00
180.00 80.00 98.00
180.00 120.00 98.00
180.00 160.00 98.00
240.00 0.00 98.00
240.00 40.00 98.00
240.00 80.00 98.00
240.00 120.00 98.00
240.00 160.00 98.00
300.00 0.00 98.00
300.00 40.00 98.00
300.00 80.00 98.00
300.00 120.00 98.00
300.00 160.00 98.00
360.00 0.00 98.00
360.00 40.00 98.00
360.00 80.00 98.00
360.00 120.00 98.00
360.00 160.00 98.00
420.00 0.00 98.00
420.00 40.00 98.00
420.00 80.00 98.00
420.00 120.00 98.00
420.00 160.00 98.00
480.00 0.00 98.00
480.00 40.00 98.00
480.00 80.00 98.00
480.00 120.00 98.00
480.00 160.00 98.00
0.00 0.00 130.00
0.00 0.00 169.00
0.00 59.00 130.00
0.00 59.00 169.00
0.00 118.00 130.00
0.00 118.00 169.00
60.00 0.00 130.00
60.00 0.00 169.00
60.00 59.00 130.00
60.00 59.00 169.00
60.00 118.00 130.00
60.00 118.00 169.00
120.00 0.00 130.00
120.00 0.00 169.00
120.00 59.00 130.00
120.00 59.00 169.00
120.00 118.00 130.00
120.00 118.00 169.00
180.00 0.00 130.00
180.00 0.00 169.00
180.00 59.00 130.00
180.00 59.00 169.00
180.00 118.00 130.00
180.00 118.00 169.00
240.00 0.00 130.00
240.00 0.00 169.00
240.00 59.00 130.00
240.00 59.00 169.00
240.00 118.00 130.00
240.00 118.00 169.00
300.00 0.00 130.00
300.00 0.00 169.00
300.00 59.00 130.00
300.00 59.00 169.00
300.00 118.00 130.00
300.00 118.00 169.00
360.00 0.00 130.00
360.00 0.00 169.00
360.00 59.00 130.00
360.00 59.00 169.00
360.00 118.00 130.00
360.00 118.00 169.00
420.00 0.00 130.00
420.00 0.00 169.00
420.00 59.00 130.00
420.00 59.00 169.00
420.00 118.00 130.00
420.00 118.00 169.00
480.00 0.00 130.00
480.00 0.00 169.00
480.00 59.00 130.00
480.00 59.00 169.00
480.00 118.00 130.00
480.00 118.00 169.00
used ratio:85.034%

Case 7
0.00 0.00 0.00
0.00 37.00 0.00
0.00 74.00 0.00
0.00 111.00 0.00
0.00 148.00 0.00
0.00 185.00 0.00
78.00 0.00 0.00
78.00 37.00 0.00
78.00 74.00 0.00
78.00 111.00 0.00
78.00 148.00 0.00
78.00 185.00 0.00
156.00 0.00 0.00
156.00 37.00 0.00
156.00 74.00 0.00
156.00 111.00 0.00
156.00 148.00 0.00
156.00 185.00 0.00
234.00 0.00 0.00
234.00 37.00 0.00
234.00 74.00 0.00
234.00 111.00 0.00
234.00 148.00 0.00
234.00 185.00 0.00
312.00 0.00 0.00
312.00 37.00 0.00
312.00 74.00 0.00
312.00 111.00 0.00
312.00 148.00 0.00
312.00 185.00 0.00
390.00 0.00 0.00
390.00 37.00 0.00
390.00 74.00 0.00
390.00 111.00 0.00
390.00 148.00 0.00
390.00 185.00 0.00
468.00 0.00 0.00
468.00 37.00 0.00
468.00 74.00 0.00
468.00 111.00 0.00
468.00 148.00 0.00
468.00 185.00 0.00
546.00 0.00 0.00
546.00 0.00 78.00
546.00 37.00 0.00
546.00 37.00 78.00
546.00 74.00 0.00
546.00 74.00 78.00
546.00 111.00 0.00
546.00 111.00 78.00
546.00 148.00 0.00
546.00 148.00 78.00
546.00 185.00 0.00
546.00 185.00 78.00
0.00 0.00 27.00
0.00 0.00 52.00
0.00 70.00 27.00
0.00 70.00 52.00
0.00 140.00 27.00
0.00 140.00 52.00
89.00 0.00 27.00
89.00 0.00 52.00
89.00 70.00 27.00
89.00 70.00 52.00
89.00 140.00 27.00
89.00 140.00 52.00
178.00 0.00 27.00
178.00 0.00 52.00
178.00 70.00 27.00
178.00 70.00 52.00
178.00 140.00 27.00
178.00 140.00 52.00
267.00 0.00 27.00
267.00 0.00 52.00
267.00 70.00 27.00
267.00 70.00 52.00
267.00 140.00 27.00
267.00 140.00 52.00
356.00 0.00 27.00
356.00 0.00 52.00
356.00 70.00 27.00
356.00 70.00 52.00
356.00 140.00 27.00
356.00 140.00 52.00
445.00 0.00 27.00
445.00 0.00 52.00
445.00 70.00 27.00
445.00 70.00 52.00
445.00 140.00 27.00
445.00 140.00 52.00
0.00 0.00 77.00
0.00 70.00 77.00
0.00 140.00 77.00
89.00 0.00 77.00
89.00 70.00 77.00
89.00 140.00 77.00
178.00 0.00 77.00
178.00 70.00 77.00
178.00 140.00 77.00
267.00 0.00 77.00
267.00 70.00 77.00
267.00 140.00 77.00
356.00 0.00 77.00
356.00 70.00 77.00
356.00 140.00 77.00
445.00 0.00 77.00
445.00 0.00 118.00
445.00 0.00 159.00
445.00 90.00 77.00
445.00 90.00 118.00
445.00 90.00 159.00
0.00 0.00 102.00
0.00 0.00 143.00
0.00 90.00 102.00
0.00 90.00 143.00
84.00 0.00 102.00
84.00 0.00 143.00
84.00 90.00 102.00
84.00 90.00 143.00
168.00 0.00 102.00
168.00 0.00 143.00
168.00 90.00 102.00
168.00 90.00 143.00
252.00 0.00 102.00
252.00 0.00 143.00
252.00 90.00 102.00
252.00 90.00 143.00
336.00 0.00 102.00
336.00 0.00 143.00
336.00 90.00 102.00
336.00 90.00 143.00
0.00 0.00 184.00
0.00 37.00 184.00
0.00 74.00 184.00
78.00 0.00 184.00
78.00 37.00 184.00
78.00 74.00 184.00
156.00 0.00 184.00
156.00 37.00 184.00
156.00 74.00 184.00
234.00 0.00 184.00
used ratio:73.001%

Case 8
0.00 0.00 0.00
0.00 76.00 0.00
0.00 152.00 0.00
108.00 0.00 0.00
108.00 76.00 0.00
108.00 152.00 0.00
216.00 0.00 0.00
216.00 76.00 0.00
216.00 152.00 0.00
324.00 0.00 0.00
324.00 76.00 0.00
324.00 152.00 0.00
432.00 0.00 0.00
432.00 76.00 0.00
432.00 152.00 0.00
540.00 0.00 0.00
540.00 0.00 25.00
540.00 0.00 50.00
540.00 110.00 0.00
540.00 110.00 25.00
540.00 110.00 50.00
0.00 0.00 30.00
0.00 99.00 30.00
73.00 0.00 30.00
73.00 99.00 30.00
146.00 0.00 30.00
146.00 99.00 30.00
219.00 0.00 30.00
219.00 99.00 30.00
292.00 0.00 30.00
292.00 99.00 30.00
365.00 0.00 30.00
365.00 99.00 30.00
438.00 0.00 30.00
438.00 99.00 30.00
511.00 0.00 30.00
511.00 0.00 111.00
511.00 33.00 30.00
511.00 33.00 111.00
511.00 66.00 30.00
511.00 66.00 111.00
511.00 99.00 30.00
511.00 99.00 111.00
511.00 132.00 30.00
511.00 132.00 111.00
511.00 165.00 30.00
511.00 165.00 111.00
540.00 0.00 75.00
540.00 110.00 75.00
0.00 0.00 150.00
0.00 92.00 150.00
81.00 0.00 150.00
81.00 92.00 150.00
162.00 0.00 150.00
162.00 92.00 150.00
243.00 0.00 150.00
243.00 92.00 150.00
324.00 0.00 150.00
324.00 92.00 150.00
405.00 0.00 150.00
405.00 92.00 150.00
used ratio:80.441%

Case 9
0.00 0.00 0.00
0.00 70.00 0.00
0.00 140.00 0.00
95.00 0.00 0.00
95.00 70.00 0.00
95.00 140.00 0.00
190.00 0.00 0.00
190.00 70.00 0.00
190.00 140.00 0.00
285.00 0.00 0.00
285.00 70.00 0.00
285.00 140.00 0.00
380.00 0.00 0.00
380.00 70.00 0.00
380.00 140.00 0.00
475.00 0.00 0.00
475.00 70.00 0.00
475.00 140.00 0.00
0.00 0.00 62.00
0.00 0.00 126.00
0.00 103.00 62.00
0.00 103.00 126.00
76.00 0.00 62.00
76.00 0.00 126.00
76.00 103.00 62.00
76.00 103.00 126.00
152.00 0.00 62.00
152.00 0.00 126.00
152.00 103.00 62.00
152.00 103.00 126.00
228.00 0.00 62.00
228.00 0.00 126.00
228.00 103.00 62.00
228.00 103.00 126.00
304.00 0.00 62.00
304.00 0.00 126.00
304.00 103.00 62.00
304.00 103.00 126.00
380.00 0.00 62.00
380.00 0.00 126.00
380.00 103.00 62.00
380.00 103.00 126.00
456.00 0.00 62.00
456.00 0.00 126.00
456.00 103.00 62.00
456.00 103.00 126.00
532.00 0.00 62.00
532.00 0.00 83.00
532.00 0.00 104.00
532.00 0.00 125.00
532.00 0.00 146.00
532.00 49.00 62.00
532.00 49.00 83.00
532.00 49.00 104.00
532.00 49.00 125.00
532.00 49.00 146.00
532.00 98.00 62.00
532.00 98.00 83.00
532.00 98.00 104.00
532.00 98.00 125.00
532.00 98.00 146.00
532.00 147.00 62.00
532.00 147.00 83.00
532.00 147.00 104.00
532.00 147.00 125.00
532.00 147.00 146.00
532.00 0.00 167.00
532.00 49.00 167.00
0.00 0.00 190.00
0.00 49.00 190.00
0.00 98.00 190.00
0.00 147.00 190.00
111.00 0.00 190.00
111.00 49.00 190.00
111.00 98.00 190.00
111.00 147.00 190.00
222.00 0.00 190.00
222.00 49.00 190.00
222.00 98.00 190.00
222.00 147.00 190.00
333.00 0.00 190.00
333.00 49.00 190.00
333.00 98.00 190.00
333.00 147.00 190.00
444.00 0.00 190.00
used ratio:82.658%

Case 10
0.00 0.00 0.00
0.00 54.00 0.00
0.00 108.00 0.00
0.00 162.00 0.00
94.00 0.00 0.00
94.00 54.00 0.00
94.00 108.00 0.00
94.00 162.00 0.00
188.00 0.00 0.00
188.00 54.00 0.00
188.00 108.00 0.00
188.00 162.00 0.00
282.00 0.00 0.00
282.00 54.00 0.00
282.00 108.00 0.00
282.00 162.00 0.00
376.00 0.00 0.00
376.00 54.00 0.00
376.00 108.00 0.00
376.00 162.00 0.00
470.00 0.00 0.00
470.00 54.00 0.00
470.00 108.00 0.00
470.00 162.00 0.00
0.00 0.00 36.00
0.00 54.00 36.00
0.00 108.00 36.00
0.00 162.00 36.00
88.00 0.00 36.00
88.00 54.00 36.00
88.00 108.00 36.00
88.00 162.00 36.00
176.00 0.00 36.00
176.00 54.00 36.00
176.00 108.00 36.00
176.00 162.00 36.00
264.00 0.00 36.00
264.00 54.00 36.00
264.00 108.00 36.00
264.00 162.00 36.00
352.00 0.00 36.00
352.00 54.00 36.00
352.00 108.00 36.00
352.00 162.00 36.00
440.00 0.00 36.00
440.00 54.00 36.00
440.00 108.00 36.00
440.00 162.00 36.00
528.00 0.00 36.00
528.00 0.00 119.00
528.00 40.00 36.00
528.00 40.00 119.00
528.00 80.00 36.00
528.00 80.00 119.00
528.00 120.00 36.00
528.00 120.00 119.00
528.00 160.00 36.00
528.00 160.00 119.00
0.00 0.00 75.00
0.00 100.00 75.00
80.00 0.00 75.00
80.00 100.00 75.00
160.00 0.00 75.00
160.00 100.00 75.00
240.00 0.00 75.00
240.00 100.00 75.00
320.00 0.00 75.00
320.00 100.00 75.00
400.00 0.00 75.00
400.00 100.00 75.00
480.00 0.00 75.00
480.00 40.00 75.00
480.00 80.00 75.00
480.00 120.00 75.00
480.00 160.00 75.00
0.00 0.00 147.00
0.00 87.00 147.00
77.00 0.00 147.00
77.00 87.00 147.00
154.00 0.00 147.00
154.00 87.00 147.00
231.00 0.00 147.00
231.00 87.00 147.00
308.00 0.00 147.00
308.00 87.00 147.00
385.00 0.00 147.00
385.00 87.00 147.00
used ratio:75.993%

Case 11
0.00 0.00 0.00
0.00 76.00 0.00
0.00 152.00 0.00
80.00 0.00 0.00
80.00 76.00 0.00
80.00 152.00 0.00
160.00 0.00 0.00
160.00 76.00 0.00
160.00 152.00 0.00
240.00 0.00 0.00
240.00 76.00 0.00
240.00 152.00 0.00
320.00 0.00 0.00
320.00 76.00 0.00
320.00 152.00 0.00
400.00 0.00 0.00
400.00 76.00 0.00
400.00 152.00 0.00
480.00 0.00 0.00
480.00 76.00 0.00
480.00 152.00 0.00
0.00 0.00 54.00
0.00 69.00 54.00
0.00 138.00 54.00
50.00 0.00 54.00
50.00 69.00 54.00
50.00 138.00 54.00
100.00 0.00 54.00
100.00 69.00 54.00
100.00 138.00 54.00
150.00 0.00 54.00
150.00 69.00 54.00
150.00 138.00 54.00
200.00 0.00 54.00
200.00 69.00 54.00
200.00 138.00 54.00
250.00 0.00 54.00
250.00 69.00 54.00
250.00 138.00 54.00
300.00 0.00 54.00
300.00 69.00 54.00
300.00 138.00 54.00
350.00 0.00 54.00
350.00 69.00 54.00
350.00 138.00 54.00
400.00 0.00 54.00
400.00 69.00 54.00
400.00 138.00 54.00
450.00 0.00 54.00
450.00 69.00 54.00
450.00 138.00 54.00
500.00 0.00 54.00
0.00 0.00 99.00
0.00 90.00 99.00
70.00 0.00 99.00
70.00 90.00 99.00
140.00 0.00 99.00
140.00 90.00 99.00
210.00 0.00 99.00
210.00 90.00 99.00
280.00 0.00 99.00
280.00 90.00 99.00
350.00 0.00 99.00
350.00 90.00 99.00
420.00 0.00 99.00
420.00 90.00 99.00
0.00 0.00 162.00
0.00 85.00 162.00
94.00 0.00 162.00
94.00 85.00 162.00
188.00 0.00 162.00
188.00 85.00 162.00
282.00 0.00 162.00
282.00 85.00 162.00
376.00 0.00 162.00
376.00 85.00 162.00
used ratio:74.134%

Case 12
0.00 0.00 0.00
0.00 76.00 0.00
0.00 152.00 0.00
109.00 0.00 0.00
109.00 76.00 0.00
109.00 152.00 0.00
218.00 0.00 0.00
218.00 76.00 0.00
218.00 152.00 0.00
327.00 0.00 0.00
327.00 76.00 0.00
327.00 152.00 0.00
436.00 0.00 0.00
436.00 76.00 0.00
436.00 152.00 0.00
0.00 0.00 42.00
0.00 0.00 101.00
0.00 106.00 42.00
0.00 106.00 101.00
80.00 0.00 42.00
80.00 0.00 101.00
80.00 106.00 42.00
80.00 106.00 101.00
160.00 0.00 42.00
160.00 0.00 101.00
160.00 106.00 42.00
160.00 106.00 101.00
240.00 0.00 42.00
240.00 0.00 101.00
240.00 106.00 42.00
240.00 106.00 101.00
320.00 0.00 42.00
320.00 0.00 101.00
320.00 106.00 42.00
320.00 106.00 101.00
400.00 0.00 42.00
400.00 0.00 101.00
400.00 106.00 42.00
400.00 106.00 101.00
480.00 0.00 42.00
480.00 0.00 103.00
480.00 74.00 42.00
480.00 74.00 103.00
480.00 148.00 42.00
480.00 148.00 103.00
0.00 0.00 160.00
0.00 76.00 160.00
109.00 0.00 160.00
109.00 76.00 160.00
218.00 0.00 160.00
218.00 76.00 160.00
327.00 0.00 160.00
327.00 76.00 160.00
0.00 152.00 160.00
0.00 152.00 182.00
118.00 152.00 160.00
118.00 152.00 182.00
236.00 152.00 160.00
236.00 152.00 182.00
354.00 152.00 160.00
354.00 152.00 182.00
480.00 0.00 164.00
480.00 0.00 189.00
480.00 71.00 164.00
480.00 71.00 189.00
480.00 142.00 164.00
480.00 142.00 189.00
used ratio:80.352%

Case 13
0.00 0.00 0.00
0.00 76.00 0.00
0.00 152.00 0.00
108.00 0.00 0.00
108.00 76.00 0.00
108.00 152.00 0.00
216.00 0.00 0.00
216.00 76.00 0.00
216.00 152.00 0.00
324.00 0.00 0.00
324.00 76.00 0.00
324.00 152.00 0.00
432.00 0.00 0.00
432.00 76.00 0.00
432.00 152.00 0.00
540.00 0.00 0.00
540.00 0.00 25.00
540.00 0.00 50.00
540.00 0.00 75.00
540.00 110.00 0.00
540.00 110.00 25.00
540.00 110.00 50.00
540.00 110.00 75.00
0.00 0.00 30.00
0.00 99.00 30.00
120.00 0.00 30.00
120.00 99.00 30.00
240.00 0.00 30.00
240.00 99.00 30.00
360.00 0.00 30.00
360.00 99.00 30.00
480.00 0.00 30.00
480.00 0.00 58.00
480.00 0.00 86.00
480.00 0.00 114.00
480.00 0.00 142.00
480.00 81.00 30.00
480.00 81.00 58.00
480.00 81.00 86.00
480.00 81.00 114.00
480.00 81.00 142.00
540.00 0.00 100.00
540.00 110.00 100.00
0.00 0.00 103.00
0.00 98.00 103.00
72.00 0.00 103.00
72.00 98.00 103.00
144.00 0.00 103.00
144.00 98.00 103.00
216.00 0.00 103.00
216.00 98.00 103.00
288.00 0.00 103.00
288.00 98.00 103.00
360.00 0.00 103.00
360.00 98.00 103.00
