Case 1
0.00 5.50 0.00
0.00 11.00 0.00
0.00 16.50 0.00
8.10 0.00 0.00
8.10 5.50 0.00
8.10 11.00 0.00
8.10 16.50 0.00
16.20 0.00 0.00
16.20 5.50 0.00
16.20 11.00 0.00
16.20 16.50 0.00
24.30 0.00 0.00
24.30 5.50 0.00
24.30 11.00 0.00
24.30 16.50 0.00
32.40 0.00 0.00
32.40 5.50 0.00
32.40 11.00 0.00
32.40 16.50 0.00
40.50 0.00 0.00
40.50 5.50 0.00
40.50 11.00 0.00
40.50 16.50 0.00
48.60 0.00 0.00
48.60 5.50 0.00
48.60 11.00 0.00
48.60 16.50 0.00
0.00 0.00 9.20
0.00 11.00 9.20
4.30 0.00 9.20
4.30 11.00 9.20
8.60 0.00 9.20
8.60 11.00 9.20
12.90 0.00 9.20
12.90 11.00 9.20
17.20 0.00 9.20
17.20 11.00 9.20
21.50 0.00 9.20
21.50 11.00 9.20
25.80 0.00 9.20
25.80 11.00 9.20
30.10 0.00 9.20
30.10 11.00 9.20
34.40 0.00 9.20
34.40 11.00 9.20
38.70 0.00 9.20
38.70 11.00 9.20
43.00 0.00 9.20
43.00 11.00 9.20
47.30 0.00 9.20
47.30 11.00 9.20
51.60 0.00 9.20
51.60 11.00 9.20
0.00 0.00 11.70
0.00 0.00 14.70
0.00 10.80 11.70
0.00 10.80 14.70
7.60 0.00 11.70
7.60 0.00 14.70
7.60 10.80 11.70
7.60 10.80 14.70
15.20 0.00 11.70
15.20 0.00 14.70
15.20 10.80 11.70
15.20 10.80 14.70
22.80 0.00 11.70
22.80 0.00 14.70
22.80 10.80 11.70
22.80 10.80 14.70
30.40 0.00 11.70
30.40 0.00 14.70
30.40 10.80 11.70
30.40 10.80 14.70
38.00 0.00 11.70
38.00 0.00 14.70
38.00 10.80 11.70
38.00 10.80 14.70
45.60 0.00 11.70
45.60 0.00 14.70
45.60 10.80 11.70
45.60 10.80 14.70
0.00 0.00 17.70
0.00 10.80 17.70
7.60 0.00 17.70
7.60 10.80 17.70
15.20 0.00 17.70
15.20 10.80 17.70
22.80 0.00 17.70
22.80 10.80 17.70
30.40 0.00 17.70
30.40 10.80 17.70
38.00 0.00 17.70
38.00 10.80 17.70
45.60 0.00 17.70
used ratio:86.602%

Case 3
0.00 0.00 0.00
0.00 0.55 0.00
0.00 1.10 0.00
0.00 1.65 0.00
0.81 0.00 0.00
0.81 0.55 0.00
0.81 1.10 0.00
0.81 1.65 0.00
1.62 0.00 0.00
1.62 0.55 0.00
1.62 1.10 0.00
1.62 1.65 0.00
2.43 0.00 0.00
2.43 0.55 0.00
2.43 1.10 0.00
2.43 1.65 0.00
3.24 0.00 0.00
3.24 0.55 0.00
3.24 1.10 0.00
3.24 1.65 0.00
4.05 0.00 0.00
4.05 0.55 0.00
4.05 1.10 0.00
4.05 1.65 0.00
4.86 0.00 0.00
4.86 0.55 0.00
4.86 1.10 0.00
4.86 1.65 0.00
0.00 0.00 0.92
0.00 1.10 0.92
0.43 0.00 0.92
0.43 1.10 0.92
0.86 0.00 0.92
0.86 1.10 0.92
1.29 0.00 0.92
1.29 1.10 0.92
1.72 0.00 0.92
1.72 1.10 0.92
2.15 0.00 0.92
2.15 1.10 0.92
2.58 0.00 0.92
2.58 1.10 0.92
3.01 0.00 0.92
3.01 1.10 0.92
3.44 0.00 0.92
3.44 1.10 0.92
3.87 0.00 0.92
3.87 1.10 0.92
4.30 0.00 0.92
4.30 1.10 0.92
4.73 0.00 0.92
4.73 1.10 0.92
5.16 0.00 0.92
5.16 1.10 0.92
0.00 0.00 1.17
0.00 0.00 1.47
0.00 1.08 1.17
0.00 1.08 1.47
0.76 0.00 1.17
0.76 0.00 1.47
0.76 1.08 1.17
0.76 1.08 1.47
1.52 0.00 1.17
1.52 0.00 1.47
1.52 1.08 1.17
1.52 1.08 1.47
2.28 0.00 1.17
2.28 0.00 1.47
2.28 1.08 1.17
2.28 1.08 1.47
3.04 0.00 1.17
3.04 0.00 1.47
3.04 1.08 1.17
3.04 1.08 1.47
3.80 0.00 1.17
3.80 0.00 1.47
3.80 1.08 1.17
3.80 1.08 1.47
4.56 0.00 1.17
4.56 0.00 1.47
4.56 1.08 1.17
4.56 1.08 1.47
0.00 0.00 1.77
0.00 1.08 1.77
0.76 0.00 1.77
0.76 1.08 1.77
1.52 0.00 1.77
1.52 1.08 1.77
2.28 0.00 1.77
2.28 1.08 1.77
3.04 0.00 1.77
3.04 1.08 1.77
3.80 0.00 1.77
3.80 1.08 1.77
4.56 0.00 1.77
4.56 1.08 1.77
4.56 0.00 1.77
used ratio:86.602%

Case 4
0.00 0.00 0.00
0.00 77.00 0.00
0.00 154.00 0.00
72.00 0.00 0.00
72.00 77.00 0.00
72.00 154.00 0.00
144.00 0.00 0.00
144.00 77.00 0.00
144.00 154.00 0.00
216.00 0.00 0.00
216.00 77.00 0.00
216.00 154.00 0.00
288.00 0.00 0.00
288.00 77.00 0.00
288.00 154.00 0.00
360.00 0.00 0.00
360.00 77.00 0.00
360.00 154.00 0.00
432.00 0.00 0.00
432.00 77.00 0.00
432.00 154.00 0.00
504.00 0.00 0.00
504.00 77.00 0.00
504.00 154.00 0.00
0.00 0.00 105.00
0.00 45.00 105.00
0.00 90.00 105.00
0.00 135.00 105.00
0.00 180.00 105.00
91.00 0.00 105.00
91.00 45.00 105.00
91.00 90.00 105.00
91.00 135.00 105.00
91.00 180.00 105.00
182.00 0.00 105.00
182.00 45.00 105.00
182.00 90.00 105.00
182.00 135.00 105.00
182.00 180.00 105.00
273.00 0.00 105.00
273.00 45.00 105.00
273.00 90.00 105.00
273.00 135.00 105.00
273.00 180.00 105.00
364.00 0.00 105.00
364.00 45.00 105.00
364.00 90.00 105.00
364.00 135.00 105.00
364.00 180.00 105.00
455.00 0.00 105.00
455.00 45.00 105.00
455.00 90.00 105.00
455.00 135.00 105.00
455.00 180.00 105.00
0.00 0.00 159.00
0.00 79.00 159.00
78.00 0.00 159.00
78.00 79.00 159.00
156.00 0.00 159.00
156.00 79.00 159.00
234.00 0.00 159.00
234.00 79.00 159.00
312.00 0.00 159.00
312.00 79.00 159.00
390.00 0.00 159.00
390.00 79.00 159.00
468.00 0.00 159.00
468.00 79.00 159.00
0.00 158.00 159.00
91.00 158.00 159.00
used ratio:88.967%

Case 5
0.00 0.00 0.00
0.00 77.00 0.00
0.00 154.00 0.00
72.00 0.00 0.00
72.00 77.00 0.00
72.00 154.00 0.00
144.00 0.00 0.00
144.00 77.00 0.00
144.00 154.00 0.00
216.00 0.00 0.00
216.00 77.00 0.00
216.00 154.00 0.00
288.00 0.00 0.00
288.00 77.00 0.00
288.00 154.00 0.00
360.00 0.00 0.00
360.00 77.00 0.00
360.00 154.00 0.00
432.00 0.00 0.00
432.00 77.00 0.00
432.00 154.00 0.00
504.00 0.00 0.00
504.00 77.00 0.00
504.00 154.00 0.00
0.00 0.00 105.00
0.00 45.00 105.00
0.00 90.00 105.00
0.00 135.00 105.00
0.00 180.00 105.00
91.00 0.00 105.00
91.00 45.00 105.00
91.00 90.00 105.00
91.00 135.00 105.00
91.00 180.00 105.00
182.00 0.00 105.00
182.00 45.00 105.00
182.00 90.00 105.00
182.00 135.00 105.00
182.00 180.00 105.00
273.00 0.00 105.00
273.00 45.00 105.00
273.00 90.00 105.00
273.00 135.00 105.00
273.00 180.00 105.00
364.00 0.00 105.00
364.00 45.00 105.00
364.00 90.00 105.00
364.00 135.00 105.00
364.00 180.00 105.00
455.00 0.00 105.00
455.00 45.00 105.00
455.00 90.00 105.00
455.00 135.00 105.00
455.00 180.00 105.00
0.00 0.00 159.00
0.00 79.00 159.00
78.00 0.00 159.00
78.00 79.00 159.00
156.00 0.00 159.00
156.00 79.00 159.00
234.00 0.00 159.00
234.00 79.00 159.00
312.00 0.00 159.00
312.00 79.00 159.00
390.00 0.00 159.00
390.00 79.00 159.00
468.00 0.00 159.00
468.00 79.00 159.00
0.00 158.00 159.00
91.00 158.00 159.00
used ratio:88.967%

Case 6
0.00 0.00 0.00
0.00 75.00 0.00
0.00 150.00 0.00
55.00 0.00 0.00
55.00 75.00 0.00
55.00 150.00 0.00
110.00 0.00 0.00
110.00 75.00 0.00
110.00 150.00 0.00
165.00 0.00 0.00
165.00 75.00 0.00
165.00 150.00 0.00
220.00 0.00 0.00
220.00 75.00 0.00
220.00 150.00 0.00
275.00 0.00 0.00
275.00 75.00 0.00
275.00 150.00 0.00
330.00 0.00 0.00
330.00 75.00 0.00
330.00 150.00 0.00
385.00 0.00 0.00
385.00 75.00 0.00
385.00 150.00 0.00
440.00 0.00 0.00
440.00 75.00 0.00
440.00 150.00 0.00
495.00 0.00 0.00
495.00 75.00 0.00
495.00 150.00 0.00
550.00 0.00 0.00
550.00 0.00 60.00
550.00 0.00 120.00
550.00 40.00 0.00
550.00 40.00 60.00
550.00 40.00 120.00
550.00 80.00 0.00
550.00 80.00 60.00
550.00 80.00 120.00
550.00 120.00 0.00
550.00 120.00 60.00
550.00 120.00 120.00
550.00 160.00 0.00
550.00 160.00 60.00
550.00 160.00 120.00
0.00 0.00 98.00
0.00 40.00 98.00
0.00 80.00 98.00
0.00 120.00 98.00
0.00 160.00 98.00
60.00 0.00 98.00
60.00 40.00 98.00
60.00 80.00 98.00
60.00 120.00 98.00
60.00 160.00 98.00
120.00 0.00 98.00
120.00 40.00 98.00
120.00 80.00 98.00
120.00 120.00 98.00
120.00 160.00 98.00
180.00 0.00 98.00
180.00 40.00 98.00
180.00 80.00 98.00
180.00 120.00 98.00
180.00 160.00 98.00
240.00 0.00 98.00
240.00 40.00 98.00
240.00 80.00 98.00
240.00 120.00 98.00
240.00 160.00 98.00
300.00 0.00 98.00
300.00 40.00 98.00
300.00 80.00 98.00
300.00 120.00 98.00
300.00 160.00 98.00
360.00 0.00 98.00
360.00 40.00 98.00
360.00 80.00 98.00
360.00 120.00 98.00
360.00 160.00 98.00
420.00 0.00 98.00
420.00 40.00 98.00
420.00 80.00 98.00
420.00 120.00 98.00
420.00 160.00 98.00
480.00 0.00 98.00
480.00 40.00 98.00
480.00 80.00 98.00
480.00 120.00 98.00
480.00 160.00 98.00
0.00 0.00 130.00
0.00 39.00 130.00
0.00 78.00 130.00
0.00 117.00 130.00
0.00 156.00 130.00
60.00 0.00 130.00
60.00 39.00 130.00
60.00 78.00 130.00
60.00 117.00 130.00
60.00 156.00 130.00
120.00 0.00 130.00
120.00 39.00 130.00
120.00 78.00 130.00
120.00 117.00 130.00
120.00 156.00 130.00
180.00 0.00 130.00
180.00 39.00 130.00
180.00 78.00 130.00
180.00 117.00 130.00
180.00 156.00 130.00
240.00 0.00 130.00
240.00 39.00 130.00
240.00 78.00 130.00
240.00 117.00 130.00
240.00 156.00 130.00
300.00 0.00 130.00
300.00 39.00 130.00
300.00 78.00 130.00
300.00 117.00 130.00
300.00 156.00 130.00
360.00 0.00 130.00
360.00 39.00 130.00
360.00 78.00 130.00
360.00 117.00 130.00
360.00 156.00 130.00
420.00 0.00 130.00
420.00 39.00 130.00
420.00 78.00 130.00
420.00 117.00 130.00
420.00 156.00 130.00
480.00 0.00 130.00
480.00 39.00 130.00
480.00 78.00 130.00
480.00 117.00 130.00
480.00 156.00 130.00
used ratio:88.775%

Case 7
0.00 0.00 0.00
0.00 37.00 0.00
0.00 74.00 0.00
0.00 111.00 0.00
0.00 148.00 0.00
0.00 185.00 0.00
78.00 0.00 0.00
78.00 37.00 0.00
78.00 74.00 0.00
78.00 111.00 0.00
78.00 148.00 0.00
78.00 185.00 0.00
156.00 0.00 0.00
156.00 37.00 0.00
156.00 74.00 0.00
156.00 111.00 0.00
156.00 148.00 0.00
156.00 185.00 0.00
234.00 0.00 0.00
234.00 37.00 0.00
234.00 74.00 0.00
234.00 111.00 0.00
234.00 148.00 0.00
234.00 185.00 0.00
312.00 0.00 0.00
312.00 37.00 0.00
312.00 74.00 0.00
312.00 111.00 0.00
312.00 148.00 0.00
312.00 185.00 0.00
390.00 0.00 0.00
390.00 37.00 0.00
390.00 74.00 0.00
390.00 111.00 0.00
390.00 148.00 0.00
390.00 185.00 0.00
468.00 0.00 0.00
468.00 37.00 0.00
468.00 74.00 0.00
468.00 111.00 0.00
468.00 148.00 0.00
468.00 185.00 0.00
546.00 0.00 0.00
546.00 0.00 78.00
546.00 37.00 0.00
546.00 37.00 78.00
546.00 74.00 0.00
546.00 74.00 78.00
546.00 111.00 0.00
546.00 111.00 78.00
546.00 148.00 0.00
546.00 148.00 78.00
546.00 185.00 0.00
546.00 185.00 78.00
0.00 0.00 27.00
0.00 0.00 52.00
0.00 70.00 27.00
0.00 70.00 52.00
0.00 140.00 27.00
0.00 140.00 52.00
89.00 0.00 27.00
89.00 0.00 52.00
89.00 70.00 27.00
89.00 70.00 52.00
89.00 140.00 27.00
89.00 140.00 52.00
178.00 0.00 27.00
178.00 0.00 52.00
178.00 70.00 27.00
178.00 70.00 52.00
178.00 140.00 27.00
178.00 140.00 52.00
267.00 0.00 27.00
267.00 0.00 52.00
267.00 70.00 27.00
267.00 70.00 52.00
267.00 140.00 27.00
267.00 140.00 52.00
356.00 0.00 27.00
356.00 0.00 52.00
356.00 70.00 27.00
356.00 70.00 52.00
356.00 140.00 27.00
356.00 140.00 52.00
445.00 0.00 27.00
445.00 0.00 52.00
445.00 70.00 27.00
445.00 70.00 52.00
445.00 140.00 27.00
445.00 140.00 52.00
0.00 0.00 77.00
0.00 70.00 77.00
0.00 140.00 77.00
89.00 0.00 77.00
89.00 70.00 77.00
89.00 140.00 77.00
178.00 0.00 77.00
178.00 70.00 77.00
178.00 140.00 77.00
267.00 0.00 77.00
267.00 70.00 77.00
267.00 140.00 77.00
356.00 0.00 77.00
356.00 70.00 77.00
356.00 140.00 77.00
445.00 0.00 77.00
445.00 0.00 118.00
445.00 0.00 159.00
445.00 90.00 77.00
445.00 90.00 118.00
445.00 90.00 159.00
0.00 0.00 102.00
0.00 0.00 143.00
0.00 90.00 102.00
0.00 90.00 143.00
84.00 0.00 102.00
84.00 0.00 143.00
84.00 90.00 102.00
84.00 90.00 143.00
168.00 0.00 102.00
168.00 0.00 143.00
168.00 90.00 102.00
168.00 90.00 143.00
252.00 0.00 102.00
252.00 0.00 143.00
252.00 90.00 102.00
252.00 90.00 143.00
336.00 0.00 102.00
336.00 0.00 143.00
336.00 90.00 102.00
336.00 90.00 143.00
0.00 0.00 184.00
0.00 37.00 184.00
0.00 74.00 184.00
78.00 0.00 184.00
78.00 37.00 184.00
78.00 74.00 184.00
156.00 0.00 184.00
156.00 37.00 184.00
156.00 74.00 184.00
234.00 0.00 184.00
used ratio:73.001%

Case 8
0.00 0.00 0.00
0.00 76.00 0.00
0.00 152.00 0.00
108.00 0.00 0.00
108.00 76.00 0.00
108.00 152.00 0.00
216.00 0.00 0.00
216.00 76.00 0.00
216.00 152.00 0.00
324.00 0.00 0.00
324.00 76.00 0.00
324.00 152.00 0.00
432.00 0.00 0.00
432.00 76.00 0.00
432.00 152.00 0.00
540.00 0.00 0.00
540.00 0.00 25.00
540.00 0.00 50.00
540.00 110.00 0.00
540.00 110.00 25.00
540.00 110.00 50.00
0.00 0.00 30.00
0.00 73.00 30.00
0.00 146.00 30.00
99.00 0.00 30.00
99.00 73.00 30.00
99.00 146.00 30.00
198.00 0.00 30.00
198.00 73.00 30.00
198.00 146.00 30.00
297.00 0.00 30.00
297.00 73.00 30.00
297.00 146.00 30.00
396.00 0.00 30.00
396.00 73.00 30.00
396.00 146.00 30.00
495.00 0.00 30.00
495.00 76.00 30.00
495.00 152.00 30.00
540.00 0.00 75.00
540.00 33.00 75.00
540.00 66.00 75.00
540.00 99.00 75.00
540.00 132.00 75.00
540.00 165.00 75.00
495.00 0.00 138.00
495.00 33.00 138.00
495.00 66.00 138.00
495.00 99.00 138.00
495.00 132.00 138.00
495.00 165.00 138.00
0.00 0.00 150.00
0.00 92.00 150.00
81.00 0.00 150.00
81.00 92.00 150.00
162.00 0.00 150.00
162.00 92.00 150.00
243.00 0.00 150.00
243.00 92.00 150.00
324.00 0.00 150.00
324.00 92.00 150.00
405.00 0.00 150.00
405.00 92.00 150.00
0.00 184.00 150.00
used ratio:80.265%

Case 9
0.00 0.00 0.00
0.00 76.00 0.00
0.00 152.00 0.00
64.00 0.00 0.00
64.00 76.00 0.00
64.00 152.00 0.00
128.00 0.00 0.00
128.00 76.00 0.00
128.00 152.00 0.00
192.00 0.00 0.00
192.00 76.00 0.00
192.00 152.00 0.00
256.00 0.00 0.00
256.00 76.00 0.00
256.00 152.00 0.00
320.00 0.00 0.00
320.00 76.00 0.00
320.00 152.00 0.00
384.00 0.00 0.00
384.00 76.00 0.00
384.00 152.00 0.00
448.00 0.00 0.00
448.00 76.00 0.00
448.00 152.00 0.00
512.00 0.00 0.00
512.00 76.00 0.00
512.00 152.00 0.00
0.00 0.00 103.00
0.00 70.00 103.00
0.00 140.00 103.00
95.00 0.00 103.00
95.00 70.00 103.00
95.00 140.00 103.00
190.00 0.00 103.00
190.00 70.00 103.00
190.00 140.00 103.00
285.00 0.00 103.00
285.00 70.00 103.00
285.00 140.00 103.00
380.00 0.00 103.00
380.00 70.00 103.00
380.00 140.00 103.00
475.00 0.00 103.00
475.00 70.00 103.00
475.00 140.00 103.00
0.00 0.00 165.00
0.00 49.00 165.00
0.00 98.00 165.00
0.00 147.00 165.00
111.00 0.00 165.00
111.00 49.00 165.00
111.00 98.00 165.00
111.00 147.00 165.00
222.00 0.00 165.00
222.00 49.00 165.00
222.00 98.00 165.00
222.00 147.00 165.00
333.00 0.00 165.00
333.00 49.00 165.00
333.00 98.00 165.00
333.00 147.00 165.00
444.00 0.00 165.00
444.00 41.00 165.00
444.00 82.00 165.00
444.00 123.00 165.00
444.00 164.00 165.00
504.00 0.00 165.00
504.00 41.00 165.00
504.00 82.00 165.00
504.00 123.00 165.00
504.00 164.00 165.00
0.00 0.00 191.00
0.00 49.00 191.00
25.00 0.00 191.00
25.00 49.00 191.00
50.00 0.00 191.00
50.00 49.00 191.00
75.00 0.00 191.00
75.00 49.00 191.00
100.00 0.00 191.00
100.00 49.00 191.00
125.00 0.00 191.00
125.00 49.00 191.00
150.00 0.00 191.00
150.00 49.00 191.00
175.00 0.00 191.00
175.00 49.00 191.00
200.00 0.00 191.00
200.00 49.00 191.00
225.00 0.00 191.00
225.00 49.00 191.00
250.00 0.00 191.00
250.00 49.00 191.00
275.00 0.00 191.00
used ratio:84.816%

Case 10
0.00 0.00 0.00
0.00 54.00 0.00
0.00 108.00 0.00
0.00 162.00 0.00
94.00 0.00 0.00
94.00 54.00 0.00
94.00 108.00 0.00
94.00 162.00 0.00
188.00 0.00 0.00
188.00 54.00 0.00
188.00 108.00 0.00
188.00 162.00 0.00
282.00 0.00 0.00
282.00 54.00 0.00
282.00 108.00 0.00
282.00 162.00 0.00
376.00 0.00 0.00
376.00 54.00 0.00
376.00 108.00 0.00
376.00 162.00 0.00
470.00 0.00 0.00
470.00 54.00 0.00
470.00 108.00 0.00
470.00 162.00 0.00
0.00 0.00 36.00
0.00 54.00 36.00
0.00 108.00 36.00
0.00 162.00 36.00
88.00 0.00 36.00
88.00 54.00 36.00
88.00 108.00 36.00
88.00 162.00 36.00
176.00 0.00 36.00
176.00 54.00 36.00
176.00 108.00 36.00
176.00 162.00 36.00
264.00 0.00 36.00
264.00 54.00 36.00
264.00 108.00 36.00
264.00 162.00 36.00
352.00 0.00 36.00
352.00 54.00 36.00
352.00 108.00 36.00
352.00 162.00 36.00
440.00 0.00 36.00
440.00 54.00 36.00
440.00 108.00 36.00
440.00 162.00 36.00
528.00 0.00 36.00
528.00 0.00 119.00
528.00 40.00 36.00
528.00 40.00 119.00
528.00 80.00 36.00
528.00 80.00 119.00
528.00 120.00 36.00
528.00 120.00 119.00
528.00 160.00 36.00
528.00 160.00 119.00
0.00 0.00 75.00
0.00 72.00 75.00
0.00 144.00 75.00
100.00 0.00 75.00
100.00 72.00 75.00
100.00 144.00 75.00
200.00 0.00 75.00
200.00 72.00 75.00
200.00 144.00 75.00
300.00 0.00 75.00
300.00 72.00 75.00
300.00 144.00 75.00
400.00 0.00 75.00
400.00 72.00 75.00
400.00 144.00 75.00
0.00 0.00 155.00
0.00 87.00 155.00
77.00 0.00 155.00
77.00 87.00 155.00
154.00 0.00 155.00
154.00 87.00 155.00
231.00 0.00 155.00
231.00 87.00 155.00
308.00 0.00 155.00
308.00 87.00 155.00
385.00 0.00 155.00
385.00 87.00 155.00
0.00 174.00 155.00
83.00 174.00 155.00
166.00 174.00 155.00
249.00 174.00 155.00
332.00 174.00 155.00
415.00 174.00 155.00
used ratio:82.68%

Case 11
0.00 0.00 0.00
0.00 76.00 0.00
0.00 152.00 0.00
80.00 0.00 0.00
80.00 76.00 0.00
80.00 152.00 0.00
160.00 0.00 0.00
160.00 76.00 0.00
160.00 152.00 0.00
240.00 0.00 0.00
240.00 76.00 0.00
240.00 152.00 0.00
320.00 0.00 0.00
320.00 76.00 0.00
320.00 152.00 0.00
400.00 0.00 0.00
400.00 76.00 0.00
400.00 152.00 0.00
480.00 0.00 0.00
480.00 76.00 0.00
480.00 152.00 0.00
0.00 0.00 54.00
0.00 69.00 54.00
0.00 138.00 54.00
50.00 0.00 54.00
50.00 69.00 54.00
50.00 138.00 54.00
100.00 0.00 54.00
100.00 69.00 54.00
100.00 138.00 54.00
150.00 0.00 54.00
150.00 69.00 54.00
150.00 138.00 54.00
200.00 0.00 54.00
200.00 69.00 54.00
200.00 138.00 54.00
250.00 0.00 54.00
250.00 69.00 54.00
250.00 138.00 54.00
300.00 0.00 54.00
300.00 69.00 54.00
300.00 138.00 54.00
350.00 0.00 54.00
350.00 69.00 54.00
350.00 138.00 54.00
400.00 0.00 54.00
400.00 69.00 54.00
400.00 138.00 54.00
450.00 0.00 54.00
450.00 69.00 54.00
450.00 138.00 54.00
500.00 0.00 54.00
0.00 0.00 99.00
0.00 90.00 99.00
70.00 0.00 99.00
70.00 90.00 99.00
140.00 0.00 99.00
140.00 90.00 99.00
210.00 0.00 99.00
210.00 90.00 99.00
280.00 0.00 99.00
280.00 90.00 99.00
350.00 0.00 99.00
350.00 90.00 99.00
420.00 0.00 99.00
420.00 90.00 99.00
0.00 0.00 162.00
0.00 85.00 162.00
94.00 0.00 162.00
94.00 85.00 162.00
188.00 0.00 162.00
188.00 85.00 162.00
282.00 0.00 162.00
282.00 85.00 162.00
376.00 0.00 162.00
376.00 85.00 162.00
used ratio:74.134%

Case 12
0.00 0.00 0.00
0.00 76.00 0.00
0.00 152.00 0.00
109.00 0.00 0.00
109.00 76.00 0.00
109.00 152.00 0.00
218.00 0.00 0.00
218.00 76.00 0.00
218.00 152.00 0.00
327.00 0.00 0.00
327.00 76.00 0.00
327.00 152.00 0.00
436.00 0.00 0.00
436.00 76.00 0.00
436.00 152.00 0.00
545.00 0.00 0.00
545.00 0.00 109.00
545.00 76.00 0.00
545.00 76.00 109.00
545.00 152.00 0.00
545.00 152.00 109.00
0.00 0.00 42.00
0.00 0.00 101.00
0.00 106.00 42.00
0.00 106.00 101.00
80.00 0.00 42.00
80.00 0.00 101.00
80.00 106.00 42.00
80.00 106.00 101.00
160.00 0.00 42.00
160.00 0.00 101.00
160.00 106.00 42.00
160.00 106.00 101.00
240.00 0.00 42.00
240.00 0.00 101.00
240.00 106.00 42.00
240.00 106.00 101.00
320.00 0.00 42.00
320.00 0.00 101.00
320.00 106.00 42.00
320.00 106.00 101.00
400.00 0.00 42.00
400.00 0.00 101.00
400.00 106.00 42.00
400.00 106.00 101.00
480.00 0.00 42.00
480.00 0.00 103.00
480.00 74.00 42.00
480.00 74.00 103.00
480.00 148.00 42.00
480.00 148.00 103.00
0.00 0.00 160.00
0.00 56.00 160.00
0.00 112.00 160.00
118.00 0.00 160.00
118.00 56.00 160.00
118.00 112.00 160.00
236.00 0.00 160.00
236.00 56.00 160.00
236.00 112.00 160.00
354.00 0.00 160.00
354.00 0.00 185.00
354.00 71.00 160.00
354.00 71.00 185.00
414.00 0.00 160.00
414.00 0.00 185.00
414.00 71.00 160.00
414.00 71.00 185.00
354.00 142.00 160.00
354.00 142.00 182.00
480.00 0.00 164.00
480.00 71.00 164.00
480.00 142.00 164.00
0.00 0.00 182.00
used ratio:80.15%

Case 13
0.00 0.00 0.00
0.00 76.00 0.00
0.00 152.00 0.00
108.00 0.00 0.00
108.00 76.00 0.00
108.00 152.00 0.00
216.00 0.00 0.00
216.00 76.00 0.00
216.00 152.00 0.00
324.00 0.00 0.00
324.00 76.00 0.00
324.00 152.00 0.00
432.00 0.00 0.00
432.00 76.00 0.00
432.00 152.00 0.00
540.00 0.00 0.00
540.00 0.00 98.00
540.00 72.00 0.00
540.00 72.00 98.00
540.00 144.00 0.00
540.00 144.00 98.00
0.00 0.00 30.00
0.00 99.00 30.00
120.00 0.00 30.00
120.00 99.00 30.00
240.00 0.00 30.00
240.00 99.00 30.00
360.00 0.00 30.00
360.00 99.00 30.00
480.00 0.00 30.00
480.00 33.00 30.00
480.00 66.00 30.00
480.00 99.00 30.00
480.00 132.00 30.00
508.00 0.00 30.00
508.00 33.00 30.00
508.00 66.00 30.00
508.00 99.00 30.00
508.00 132.00 30.00
0.00 0.00 103.00
0.00 76.00 103.00
108.00 0.00 103.00
108.00 76.00 103.00
216.00 0.00 103.00
216.00 76.00 103.00
324.00 0.00 103.00
324.00 76.00 103.00
